name,imdb_rank,imdb_id,imdb_url
Lesley Manville,595,nm0544334,https://www.imdb.com/name/nm0544334/
Elizabeth Olsen,596,nm0647634,https://www.imdb.com/name/nm0647634/
Nastassja Kinski,597,nm0000176,https://www.imdb.com/name/nm0000176/
Mélanie Laurent,598,nm0491259,https://www.imdb.com/name/nm0491259/
Whitney Houston,599,nm0001365,https://www.imdb.com/name/nm0001365/
Felicity Huffman,600,nm0005031,https://www.imdb.com/name/nm0005031/
Imelda Staunton,601,nm0001767,https://www.imdb.com/name/nm0001767/
Oscar Isaac,602,nm1209966,https://www.imdb.com/name/nm1209966/
Jon Heder,603,nm1417647,https://www.imdb.com/name/nm1417647/
Miles Teller,604,nm1886602,https://www.imdb.com/name/nm1886602/
Daniel Brühl,605,nm0117709,https://www.imdb.com/name/nm0117709/
James Gandolfini,606,nm0001254,https://www.imdb.com/name/nm0001254/
Michael B. Jordan,607,nm0430107,https://www.imdb.com/name/nm0430107/
Anthony Perkins,608,nm0000578,https://www.imdb.com/name/nm0000578/
David Thewlis,609,nm0000667,https://www.imdb.com/name/nm0000667/
Klaus Kinski,610,nm0001428,https://www.imdb.com/name/nm0001428/
Malcolm McDowell,611,nm0000532,https://www.imdb.com/name/nm0000532/
Ray Winstone,612,nm0935653,https://www.imdb.com/name/nm0935653/
Jean-Paul Belmondo,613,nm0000901,https://www.imdb.com/name/nm0000901/
Andy Serkis,614,nm0785227,https://www.imdb.com/name/nm0785227/
Matthew Broderick,615,nm0000111,https://www.imdb.com/name/nm0000111/
Dennis Hopper,616,nm0000454,https://www.imdb.com/name/nm0000454/
Michael Rooker,617,nm0740264,https://www.imdb.com/name/nm0740264/
Vincent Gallo,618,nm0001252,https://www.imdb.com/name/nm0001252/
Kevin Spacey,619,nm0000228,https://www.imdb.com/name/nm0000228/
Vincent Cassel,620,nm0001993,https://www.imdb.com/name/nm0001993/
J.K. Simmons,621,nm0799777,https://www.imdb.com/name/nm0799777/
Boris Karloff,622,nm0000472,https://www.imdb.com/name/nm0000472/
Peter Lorre,623,nm0000048,https://www.imdb.com/name/nm0000048/
Matthew McConaughey,624,nm0000190,https://www.imdb.com/name/nm0000190/
Paddy Considine,625,nm0175916,https://www.imdb.com/name/nm0175916/
Ryan Phillippe,626,nm0000202,https://www.imdb.com/name/nm0000202/
Kerry Washington,627,nm0913488,https://www.imdb.com/name/nm0913488/
Carrie-Anne Moss,628,nm0005251,https://www.imdb.com/name/nm0005251/
Janet Leigh,629,nm0001463,https://www.imdb.com/name/nm0001463/
Catalina Sandino Moreno,630,nm1503432,https://www.imdb.com/name/nm1503432/
Samantha Morton,631,nm0608090,https://www.imdb.com/name/nm0608090/
Keisha Castle-Hughes,632,nm1095720,https://www.imdb.com/name/nm1095720/
Barbara Stanwyck,633,nm0001766,https://www.imdb.com/name/nm0001766/
Joan Allen,634,nm0000260,https://www.imdb.com/name/nm0000260/
Janet McTeer,635,nm0005216,https://www.imdb.com/name/nm0005216/
Fernanda Montenegro,636,nm0005244,https://www.imdb.com/name/nm0005244/
Kristin Scott Thomas,637,nm0000218,https://www.imdb.com/name/nm0000218/
Brenda Blethyn,638,nm0000950,https://www.imdb.com/name/nm0000950/
Elisabeth Shue,639,nm0000223,https://www.imdb.com/name/nm0000223/
Miranda Richardson,640,nm0001669,https://www.imdb.com/name/nm0001669/
Stockard Channing,641,nm0000330,https://www.imdb.com/name/nm0000330/
Luise Rainer,642,nm0707023,https://www.imdb.com/name/nm0707023/
Mary McDonnell,643,nm0001521,https://www.imdb.com/name/nm0001521/
Lucille Ball,644,nm0000840,https://www.imdb.com/name/nm0000840/
Laura Dern,645,nm0000368,https://www.imdb.com/name/nm0000368/
Pauline Collins,646,nm0172604,https://www.imdb.com/name/nm0172604/
Isabelle Adjani,647,nm0000254,https://www.imdb.com/name/nm0000254/
Melanie Griffith,648,nm0000429,https://www.imdb.com/name/nm0000429/
Sally Kirkland,649,nm0000476,https://www.imdb.com/name/nm0000476/
Jane Alexander,650,nm0000737,https://www.imdb.com/name/nm0000737/
Marsha Mason,651,nm0556850,https://www.imdb.com/name/nm0556850/
Freddie Highmore,652,nm0383603,https://www.imdb.com/name/nm0383603/
Michael J. Fox,653,nm0000150,https://www.imdb.com/name/nm0000150/
John Travolta,654,nm0000237,https://www.imdb.com/name/nm0000237/
Chow Yun-Fat,655,nm0000334,https://www.imdb.com/name/nm0000334/
Seth MacFarlane,656,nm0532235,https://www.imdb.com/name/nm0532235/
Jet Li,657,nm0001472,https://www.imdb.com/name/nm0001472/
John Houseman,658,nm0002144,https://www.imdb.com/name/nm0002144/
Chuck Norris,659,nm0001569,https://www.imdb.com/name/nm0001569/
Jean-Claude Van Damme,660,nm0000241,https://www.imdb.com/name/nm0000241/
Sam Rockwell,661,nm0005377,https://www.imdb.com/name/nm0005377/
Takashi Shimura,662,nm0793766,https://www.imdb.com/name/nm0793766/
Richard E. Grant,663,nm0001290,https://www.imdb.com/name/nm0001290/
Leslie Nielsen,664,nm0000558,https://www.imdb.com/name/nm0000558/
Simon Pegg,665,nm0670408,https://www.imdb.com/name/nm0670408/
John Malkovich,666,nm0000518,https://www.imdb.com/name/nm0000518/
Michael Shannon,667,nm0788335,https://www.imdb.com/name/nm0788335/
Martin Sheen,668,nm0000640,https://www.imdb.com/name/nm0000640/
Christopher Guest,669,nm0001302,https://www.imdb.com/name/nm0001302/
Alan Rickman,670,nm0000614,https://www.imdb.com/name/nm0000614/
Jackie Earle Haley,671,nm0355097,https://www.imdb.com/name/nm0355097/
Gig Young,672,nm0949574,https://www.imdb.com/name/nm0949574/
James Spader,673,nm0000652,https://www.imdb.com/name/nm0000652/
